Sl.NO.,PLAYER NAME,L25,B25-35,A35,Country,Team,PLAYING ROLE,BAT,BOW,ALL,BAT*SR,BOW*ECO,BOW*SR-BL,BAT*RUN-S,BOW*WK-I,BAT*T-RUNS,BAT*ODI-RUNS,BOW*WK-O,T-RUNS,T-WKTS,ODI-RUNS,ODI-SR-B,ODI-WKTS,ODI-SR-BL,CAPTAINCY EXP,INDIA,AUSTRALIA,OTHERS,ALL*SR-B,ALL*SR-BL,ALL*ECON,RUNS-S,HS ,AVE,SR -B,SIXERS,RUNS-C,WKTS,AVE-BL,ECON,SR -BL,Year,Year_Dummy,Base Price,Sold Price,S_B Price,SQRT(S-B),ln(SP)
1,"Abdulla, YA",0,1,0,SA,KXIP,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.93333333,8.898550725,0,0,0,0,0,307,15,20.46666667,8.898550725,13.93333333,2009,0,50000,50000,0,0,10.82
2,Abdur Razzak,0,1,0,BAN,RCB,Bowler,0,1,0,0,14.5,0,0,0,0,0,185,214,18,657,71.41,185,37.6,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,14.5,0,2008,0,50000,50000,0,0,10.82
3,"Agarkar, AB",0,1,0,IND,KKR,Bowler,0,1,0,0,8.81031614,24.89655172,0,29,0,0,288,571,58,1269,80.62,288,32.9,0,1,0,0,0,0,0,167,39,18.55555556,121.0144928,5,1059,29,36.51724138,8.81031614,24.89655172,2008,0,200000,350000,150000,387.3,12.77
4,"Ashwin, R",0,1,0,IND,CSK,Bowler,0,1,0,0,6.232686981,22.14285714,0,49,0,0,51,284,31,241,84.56,51,36.8,0,1,0,0,0,0,0,58,11,5.8,76.31578947,0,1125,49,22.95918367,6.232686981,22.14285714,2011,1,100000,850000,750000,866.03,13.65
5,"Badrinath, S",0,1,0,IND,CSK,Batsman,1,0,0,120.7149404,0,0,1317,0,63,79,0,63,0,79,45.93,0,0,0,1,0,0,0,0,0,1317,71,32.925,120.7149404,28,0,0,0,0,0,2011,1,100000,800000,700000,836.66,13.59
6,"Bailey, GJ",0,1,0,AUS,CSK,Batsman,1,0,0,95.45454545,0,0,63,0,0,172,0,0,0,172,72.26,0,0,1,0,1,0,0,0,0,63,48,21,95.45454545,0,0,0,0,0,0,2009,0,50000,50000,0,0,10.82
7,"Balaji, L",0,1,0,IND,CSK+,Bowler,0,1,0,0,7.983343248,19.40384615,0,52,0,0,34,51,27,120,78.94,34,42.5,0,1,0,0,0,0,0,26,15,4.333333333,72.22222222,1,1342,52,25.80769231,7.983343248,19.40384615,2011,1,100000,500000,400000,632.46,13.12
8,"Bollinger, DE",0,1,0,AUS,CSK,Bowler,0,1,0,0,7.21875,15.56756757,0,37,0,0,62,54,50,50,92.59,62,31.3,0,0,1,0,0,0,0,21,16,21,165.88,1,693,37,18.72972973,7.21875,15.56756757,2011,1,200000,700000,500000,707.11,13.46
9,"Botha, J",0,1,0,SA,RR,Allrounder,0,0,1,0,0,0,0,0,0,0,0,83,17,609,85.77,72,53,1,0,0,1,114.7260274,28.10526316,6.853932584,335,67,30.45454545,114.7260274,3,610,19,32.10526316,6.853932584,28.10526316,2011,1,200000,950000,750000,866.03,13.76
10,"Boucher, MV",0,1,0,SA,RCB+,Batsman,1,0,0,127.5080906,0,0,394,0,5515,4686,0,5515,1,4686,84.76,0,0,1,0,0,1,0,0,0,394,50,28.14285714,127.5080906,13,0,0,0,0,0,2008,0,200000,450000,250000,500,13.02
11,"Bravo, DJ",0,1,0,WI,MI+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,2200,86,2004,81.39,142,34.1,0,0,0,1,127.1212121,21.10638298,8.118932039,839,70,27.96666667,127.1212121,38,1338,47,28.46808511,8.118932039,21.10638298,2011,1,200000,200000,0,0,12.21
12,"Chanderpaul, S",0,0,1,WI,RCB,Batsman,1,0,0,80.64,0,0,25,0,9918,8778,0,9918,9,8778,70.74,14,52.8,1,0,0,1,0,0,0,25,16,8.33,80.64,0,0,0,0,0,0,2008,0,200000,200000,0,0,12.21
13,"Chawla, PP",1,0,0,IND,KXIP,Allrounder,0,0,1,0,0,0,0,0,0,0,0,5,3,38,65.51,32,41,0,1,0,0,113.0872483,100.2,38.11,337,24,13.48,113.0872483,9,1819,73,126.3,38.11,100.2,2008,0,125000,400000,275000,524.4,12.9
14,"de Villiers, AB",0,1,0,SA,DD+,Batsman,1,0,0,128.5291214,0,0,1302,0,5457,4998,0,5457,2,4998,93.19,0,0,1,0,0,1,0,0,0,1302,105,34.26315789,128.5291214,42,0,0,0,0,0,2008,0,200000,300000,100000,316.23,12.61
15,"Dhawan, S",0,1,0,IND,MI+,Batsman,1,0,0,122.319301,0,0,1540,0,0,69,0,0,0,69,56.09,0,0,0,1,0,0,0,0,0,1540,95,31.42857143,122.319301,36,66,4,16.5,8.25,12,2011,1,100000,300000,200000,447.21,12.61
16,"Dhoni, MS",0,1,0,IND,CSK,Batsman,1,0,0,136.4471669,0,0,1782,0,3509,6773,0,3509,0,6773,88.19,1,12,1,1,0,0,0,0,0,1782,70,37.125,136.4471669,64,0,0,0,0,0,2008,0,400000,1500000,1100000,1048.81,14.22
17,"Dilshan, TM",0,1,0,SL,DD+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,4722,32,6455,86.8,67,58.3,1,0,0,1,117.833698,53,8.072562358,1077,76,28.34210526,117.833698,24,356,5,71.2,8.072562358,53,2008,0,150000,250000,100000,316.23,12.43
18,"Dinda, AB",0,1,0,IND,KKR+,Bowler,0,1,0,0,7.285601888,21.19444444,0,36,0,0,5,0,0,18,60,5,61.4,0,1,0,0,0,0,0,6,2,1,33.33333333,0,926,36,25.72222222,7.285601888,21.19444444,2011,1,100000,375000,275000,524.4,12.83
19,"Dravid, RS",0,0,1,IND,RCB+,Batsman,1,0,0,116.8840082,0,0,1703,0,13288,10889,0,13288,1,10889,71.24,4,46.5,1,1,0,0,0,0,0,1703,75,27.91803279,116.8840082,23,0,0,0,0,0,2011,1,400000,500000,100000,316.23,13.12
20,"Duminy, J-P",0,1,0,SA,MI+,Batsman,1,0,0,119.2682927,0,0,978,0,654,2536,0,654,11,2536,84,25,47.6,0,0,0,1,0,0,0,978,74,36.22222222,119.2682927,35,377,10,37.7,7.113207547,31.8,2009,0,300000,300000,0,0,12.61
21,"Edwards, FH",0,1,0,WI,DC,Bowler,0,1,0,0,6.6,28,0,5,0,0,60,380,157,73,45.62,60,35.6,0,0,0,1,0,0,0,4,3,4,80,0,154,5,30.8,6.6,28,2009,0,150000,150000,0,0,11.92
22,"Fernando, CRD",0,1,0,SL,MI,Bowler,0,1,0,0,7.641025641,13.76470588,0,17,0,0,187,249,97,239,60.96,187,34.7,0,0,0,1,0,0,0,4,2,0,133.3333333,0,298,17,17.52941176,7.641025641,13.76470588,2008,0,150000,150000,0,0,11.92
23,"Fleming, SP",0,0,1,NZ,CSK,Batsman,1,0,0,118.78,0,0,196,0,7172,8037,0,7172,0,8037,71.49,1,29,1,0,0,1,0,0,0,196,45,21.77,118.78,3,0,0,0,0,0,2008,0,350000,350000,0,0,12.77
24,"Flintoff, A",0,1,0,ENG,CSK,Allrounder,0,0,1,0,0,0,0,0,0,0,0,3845,226,3394,88.82,169,33.2,1,0,0,1,116.98,33,9.545454545,62,24,31,116.98,2,105,2,52.5,9.545454545,33,2009,0,950000,1550000,600000,774.6,14.25
25,"Gambhir, G",0,1,0,IND,DD+,Batsman,1,0,0,128.9013733,0,0,2065,0,3712,4819,0,3712,0,4819,86.17,0,0,1,1,0,0,0,0,0,2065,93,33.30645161,128.9013733,32,0,0,0,0,0,2008,0,220000,725000,505000,710.63,13.49
26,"Ganguly, SC",0,0,1,IND,KKR+,Batsman,1,0,0,106.8091845,0,0,1349,0,7212,11363,0,7212,32,11363,73.7,100,45.6,1,1,0,0,0,0,0,1349,91,25.45283019,106.8091845,42,363,10,36.3,7.891304348,27.6,2011,1,200000,400000,200000,447.21,12.9
27,"Gayle, CH",0,1,0,WI,KKR+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,6373,72,8087,83.95,156,44.4,1,0,0,1,161.793722,34.84615385,8.047808765,1804,128,50.11111111,161.793722,129,606,13,46.61538462,8.047808765,34.84615385,2008,0,250000,800000,550000,741.62,13.59
28,"Gibbs, HH",0,0,1,SA,DC,Batsman,1,0,0,109.7893432,0,0,886,0,6167,8094,0,6167,0,8094,83.26,0,0,1,0,0,1,0,0,0,886,69,27.6875,109.7893432,31,0,0,0,0,0,2008,0,250000,575000,325000,570.09,13.26
29,"Gilchrist, AC",0,0,1,AUS,DC+,Batsman,1,0,0,140.2053712,0,0,1775,0,5570,9619,0,5570,0,9619,96.94,0,0,1,0,1,0,0,0,0,1775,109,27.734375,140.2053712,86,0,0,0,0,0,2008,0,300000,700000,400000,632.46,13.46
30,"Gony, MS",0,1,0,IND,CSK+,Bowler,0,1,0,0,8.466101695,23.6,0,30,0,0,2,0,0,0,0,2,39,0,1,0,0,0,0,0,54,15,9,117.3913043,5,999,30,33.3,8.466101695,23.6,2011,1,50000,290000,240000,489.9,12.58
31,Harbhajan Singh,0,1,0,IND,MI,Bowler,0,1,0,0,6.854876342,23.83333333,0,54,0,0,259,2164,406,1190,80.51,259,46.5,1,1,0,0,0,0,0,430,49,16.53846154,151.4084507,22,1469,54,27.2037037,6.854876342,23.83333333,2008,0,250000,850000,600000,774.6,13.65
32,"Harris, RJ",0,1,0,AUS,DC+,Bowler,0,1,0,0,7.713607595,17.27272727,0,44,0,0,44,199,46,48,100,44,23.4,0,0,1,0,0,0,0,115,17,10.45454545,107.4766355,3,975,44,22.15909091,7.713607595,17.27272727,2011,1,200000,325000,125000,353.55,12.69
33,"Hayden, ML",0,0,1,AUS,CSK,Batsman,1,0,0,137.515528,0,0,1107,0,8625,6133,0,8625,0,6133,78.96,0,0,0,0,1,0,0,0,0,1107,93,36.9,137.515528,44,0,0,0,0,0,2008,0,225000,375000,150000,387.3,12.83
34,"Henderson, T",0,0,1,SA,RR,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68.75,36,6.66,11,11,5.5,68.75,1,40,1,40,6.66,36,2009,0,100000,650000,550000,741.62,13.38
35,"Henriques, MC",0,1,0,AUS,KKR+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,18,60,1,90,0,0,1,0,108.8888889,32.33333333,8.819875776,49,30,16.33333333,108.8888889,1,142,3,47.33333333,8.819875776,32.33333333,2011,1,50000,50000,0,0,10.82
36,"Hodge, BJ",0,0,1,AUS,KKR+,Batsman,1,0,0,121.4975845,0,0,1006,0,503,575,0,503,0,575,87.51,1,66,0,0,1,0,0,0,0,1006,73,31.4375,121.4975845,28,300,17,17.64705882,7.894736842,13.41176471,2011,1,200000,425000,225000,474.34,12.96
37,"Hopes, JR",0,1,0,AUS,KXIP,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,1326,93.71,67,47.1,0,0,1,0,136.2745098,25.71428571,9.133333333,417,71,26.0625,136.2745098,11,548,14,39.14285714,9.133333333,25.71428571,2011,1,200000,350000,150000,387.3,12.77
38,"Hussey, DJ",0,1,0,AUS,KKR+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,1488,91.4,18,36.2,0,0,1,0,125.7772021,39,8.846153846,971,71,26.24324324,125.7772021,48,345,6,57.5,8.846153846,39,2008,0,100000,625000,525000,724.57,13.35
39,"Hussey, MEK",0,0,1,AUS,CSK,Batsman,1,0,0,120.6549118,0,0,958,0,5708,5262,0,5708,7,5262,86.97,2,117,1,0,1,0,0,0,0,958,116,39.91666667,120.6549118,25,0,0,0,0,0,2008,0,250000,250000,0,0,12.43
40,"Jadeja, RA",1,0,0,IND,RR+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,860,78.61,57,46.2,0,1,0,0,120.855615,23.65384615,7.331378299,904,48,23.17948718,120.855615,35,750,26,28.84615385,7.331378299,23.65384615,2011,1,100000,950000,850000,921.95,13.76
41,"Jaffer, W",0,1,0,IND,RCB,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1944,2,10,43.47,0,0,0,1,0,0,107.4380165,0,0,130,50,16.25,107.4380165,3,0,0,0,0,0,2008,0,150000,150000,0,0,11.92
42,"Jayasuriya, ST",0,0,1,SL,MI,Allrounder,0,0,1,0,0,0,0,0,0,0,0,6973,98,13430,91.21,323,46,1,0,0,1,144.3609023,22.61538462,7.959183673,768,114,27.42857143,144.3609023,39,390,13,30,7.959183673,22.61538462,2008,0,250000,975000,725000,851.47,13.79
43,"Jayawardena, DPMD",0,1,0,SL,KXIP+,Batsman,1,0,0,128.024369,0,0,1471,0,10440,10596,0,10440,6,10596,78.08,7,83.1,1,0,0,1,0,0,0,1471,110,30.64583333,128.024369,33,0,0,0,0,0,2008,0,250000,475000,225000,474.34,13.07
44,"Kaif, M",0,1,0,IND,RR+,Batsman,1,0,0,103.6,0,0,259,0,624,2753,0,624,0,2753,72.03,0,0,0,1,0,0,0,0,0,259,34,14.38888889,103.6,6,0,0,0,0,0,2008,0,125000,675000,550000,741.62,13.42
45,"Kallis, JH",0,0,1,SA,RCB,Allrounder,0,0,1,0,0,0,0,0,0,0,0,12379,276,11498,72.97,270,39.3,1,0,0,1,110.9542631,28.71111111,7.960037175,1965,89,30.703125,110.9542631,37,1713,45,38.06666667,7.960037175,28.71111111,2008,0,225000,900000,675000,821.58,13.71
46,Kamran Akmal,0,1,0,PAK,RR,Batsman,1,0,0,164.1,0,0,128,0,2648,2924,0,2648,0,2924,84.31,0,0,0,0,0,1,0,0,0,128,53,25.6,164.1,8,0,0,0,0,0,2008,0,150000,150000,0,0,11.92
47,Kamran Khan,1,0,0,IND,RR+,Bowler,0,1,0,0,8.484848485,17.77777778,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,60,0,224,9,24.88888889,8.484848485,17.77777778,2009,0,20000,24000,4000,63.25,10.09
48,"Karthik, KD",0,1,0,IND,DD+,Batsman,1,0,0,123.8430584,0,0,1231,0,1000,1008,0,1000,0,1008,74.5,0,0,0,1,0,0,0,0,0,1231,69,24.1372549,123.8430584,28,0,0,0,0,0,2008,0,200000,525000,325000,570.09,13.17
49,"Kartik, M",0,1,0,IND,KKR+,Bowler,0,1,0,0,7.015235457,41.33333333,0,21,0,0,37,88,24,126,70.78,37,51.5,0,1,0,0,0,0,0,111,21,18.5,105.7142857,1,1013,21,48.23809524,7.015235457,41.33333333,2008,0,200000,425000,225000,474.34,12.96
50,"Katich, SM",0,0,1,AUS,KXIP,Batsman,1,0,0,129.5698925,0,0,241,0,4188,1324,0,4188,21,1324,68.74,0,0,0,0,1,0,0,0,0,241,75,24.1,129.5698925,8,0,0,0,0,0,2008,0,200000,200000,0,0,12.21
51,"Kohli, V",1,0,0,IND,RCB,Batsman,1,0,0,119.286754,0,0,1639,0,491,3590,0,491,0,3590,86.31,2,137,1,1,0,0,0,0,0,1639,73,28.25862069,119.286754,49,345,4,86.25,8.84,58.5,2011,1,150000,1800000,1650000,1284.52,14.4
52,"Kumar, P",0,1,0,IND,RCB+,Bowler,0,1,0,0,7.73166801,28.11320755,0,53,0,0,77,149,27,292,88.21,77,42.1,0,1,0,0,0,0,0,243,34,10.56521739,114.084507,14,1919,53,36.20754717,7.73166801,28.11320755,2011,1,200000,800000,600000,774.6,13.59
53,"Kumble, A",0,0,1,IND,RCB,Bowler,0,1,0,0,9.545454545,33,0,2,0,0,337,2506,619,938,61.06,337,43,1,1,0,0,0,0,0,35,8,11.66666667,74.46808511,0,105,2,52.5,9.545454545,33,2008,0,250000,500000,250000,500,13.12
54,"Langeveldt, CK",0,0,1,SA,KKR+,Bowler,0,1,0,0,7.192307692,12,0,13,0,0,100,16,16,73,58.87,100,34.8,0,0,0,1,0,0,0,8,8,4,88.88888889,1,187,13,14.38461538,7.192307692,12,2011,1,100000,140000,40000,200,11.85
55,"Laxman, VVS",0,0,1,IND,DC+,Batsman,1,0,0,105.6179775,0,0,282,0,8781,2338,0,8781,2,2338,71.23,0,0,1,1,0,0,0,0,0,282,52,15.66666667,105.6179775,5,0,0,0,0,0,2008,0,150000,375000,225000,474.34,12.83
